Reference number,AWB,Company,Store,Recipient Name,Company Payment Type,Delivering City,Delivering Area,Shipment Details,Zones,Cash on Delivery,Returned With Fees,Exp Delivery Fees,Shipment Status,Creation Date,Distribution Center Date,AssignTo Courier Date,Acctual Delivering Date,COD Collection Date,Company Settlement Date
30920w,24100458000171,mango perfume,mango perfume,,Pay After Delivery,Irbid,اربد,100مل ديلينا +100مل نارسيسو بور ميوزك وايت +50مل جيرلان مون +50مل بربري جوديس ,,34,,1.75,Cod Collected,10/2/2024 2:12:19 AM,10/2/2024 4:55:26 AM,10/2/2024 12:02:10 PM,10/2/2024 5:02:57 PM,10/2/2024 7:35:36 PM,10/3/2024 9:54:03 AM
30921w,24100458000172,mango perfume,mango perfume,,Pay After Delivery,Amman,خلدا,100مل كريد افنتوس ,E,0,,1.5,Cod Collected,10/2/2024 2:12:19 AM,10/2/2024 4:55:26 AM,10/2/2024 6:47:04 PM,10/2/2024 6:47:36 PM,10/2/2024 6:57:41 PM,10/3/2024 9:54:03 AM
30922w,24100458000173,mango perfume,mango perfume,,Pay After Delivery,Zarqa,الزرقاء,100مل دنهل لندىن +100مل سبايس بومب +50مل رابان اولمبيا+50مل اليكساندريا,Z - 1,34,,1.75,Cod Collected,10/2/2024 2:12:19 AM,10/2/2024 4:55:26 AM,10/2/2024 8:56:22 AM,10/2/2024 4:28:07 PM,10/2/2024 8:46:26 PM,10/3/2024 9:54:03 AM
30923w,24100458000174,mango perfume,mango perfume,,Pay After Delivery,Amman,الجبيهة,100مل سكاندل بور هوم +100مل اكوا دي جيو بروفومو +50مل سترونجر ويذ يو انتنسلي +50مل اف سان لوران واي بيرفيوم ,I,34,,1.5,Cod Collected,10/2/2024 2:12:19 AM,10/2/2024 4:55:26 AM,10/3/2024 10:16:22 AM,10/3/2024 10:18:16 AM,10/3/2024 7:23:35 PM,10/5/2024 9:47:35 AM
30924w,24100458000175,mango perfume,mango perfume,,Pay After Delivery,Amman,تلاع العلي,100مل لاكوست وايت +100مل 212 +50مل 212 +50مل لاكوست وايت ,G,34,,1.5,Cod Collected,10/2/2024 2:12:19 AM,10/2/2024 4:55:26 AM,10/2/2024 7:25:06 AM,10/2/2024 2:00:42 PM,10/2/2024 6:40:16 PM,10/3/2024 9:54:03 AM
30925w,24100458000176,mango perfume,mango perfume,,Pay After Delivery,Amman,طبربور,100مل لو ميل بيرفيوم +100مل سكاندل بور هوم +50مل سترونجر ويذ يو +50مل ديور ليون ,H,34,,1.5,Cod Collected,10/2/2024 2:12:19 AM,10/2/2024 4:55:26 AM,10/2/2024 7:18:55 AM,10/2/2024 4:47:08 PM,10/2/2024 7:28:55 PM,10/3/2024 9:54:03 AM
30926w,24100458000177,mango perfume,mango perfume,,Pay After Delivery,Amman,خريبة السوق,100مل اكسبلور بلاتنيوم +100مل ليبر +50مل تيري هيرمز +50مل Ch ستاتي ,D 1,34,,1.5,Cod Collected,10/2/2024 2:12:19 AM,10/2/2024 4:55:26 AM,10/2/2024 7:03:03 AM,10/2/2024 12:56:18 PM,10/2/2024 3:48:50 PM,10/3/2024 9:54:03 AM
30927w,24100458000178,mango perfume,mango perfume,,Pay After Delivery,Irbid,كتم,100مل فرزاتشي كريستال برايت +100مل روبيرتو كافالي ستاتي +50مل ماي بربري +50مل ليدي ميلون ,Q 1,0,,1.75,Cod Collected,10/2/2024 2:12:19 AM,10/2/2024 4:55:26 AM,10/2/2024 11:59:41 AM,10/2/2024 7:23:08 PM,10/2/2024 7:49:12 PM,10/3/2024 9:54:03 AM
30928w,24100458000179,mango perfume,mango perfume,,Pay After Delivery,Amman,شارع مكة,100مل باسفيك تشيل ,K,0,,1.5,Cod Collected,10/2/2024 2:12:19 AM,10/2/2024 4:55:26 AM,10/2/2024 7:39:59 AM,10/2/2024 11:46:32 AM,10/2/2024 7:10:57 PM,10/3/2024 9:54:03 AM
30929w,24100458000180,mango perfume,mango perfume,,Pay After Delivery,Irbid,قميم,100مل ck وايت +100مل دولتشي غابانا كينغ +50مل توم فورد اومبير ليذر +50مل كريد افنتوس بلاك ,Q 5,0,,1.75,Cod Collected,10/2/2024 2:12:19 AM,10/2/2024 4:55:26 AM,10/5/2024 12:12:34 PM,10/5/2024 6:39:52 PM,10/5/2024 8:17:54 PM,10/6/2024 12:09:52 PM
30930w,24100458000181,mango perfume,mango perfume,,Pay After Delivery,Irbid,ايدون,100مل غوتشي فلورا +100مل دنهل بلو ,Q 1,0,,1.75,Cod Collected,10/2/2024 2:12:19 AM,10/2/2024 4:55:26 AM,10/2/2024 12:02:10 PM,10/2/2024 6:32:13 PM,10/2/2024 7:35:36 PM,10/3/2024 9:54:03 AM
30931w,24100458000182,mango perfume,mango perfume,,Pay After Delivery,Irbid,اربد,100مل كريد افنتوس +100مل ليبر +50مل انترنتي +50مل توم فورد اومبير ليذر ,,0,,1.75,Cod Collected,10/2/2024 2:12:19 AM,10/2/2024 4:55:26 AM,10/3/2024 12:08:25 PM,10/3/2024 12:52:05 PM,10/3/2024 7:50:44 PM,10/5/2024 9:47:35 AM
30932w,24100458000183,mango perfume,mango perfume,,Pay After Delivery,Amman,ضاحية الرشيد,100مل برادا لاهوم انتنس عدد 2 +50مل اكوا دي جيو وايت +50مل اف سان لوران بلاك ,I,34,,1.5,Cod Collected,10/2/2024 2:12:19 AM,10/2/2024 4:55:26 AM,10/2/2024 7:33:57 AM,10/2/2024 1:56:05 PM,10/2/2024 6:46:38 PM,10/3/2024 9:54:03 AM
30933w,24100458000184,mango perfume,mango perfume,,Pay After Delivery,Rumtha,الرمثا,100مل سوفاج +100مل دنهل بلاك +50مل بلو شانيل عدد 2 ,,34,,1.75,Item Returned To Company Completed,10/2/2024 2:12:19 AM,10/2/2024 4:55:26 AM,10/3/2024 11:59:43 AM,,,
30934w,24100458000185,mango perfume,mango perfume,,Pay After Delivery,Amman,الصويفية,50مل ايروس +50مل سوفاج +50مل سترونجر ويذ يو +50مل سوفاج ,RTN,30,,1.5,Item Returned To Company Completed,10/2/2024 2:12:19 AM,10/2/2024 4:55:26 AM,10/5/2024 8:30:56 AM,,,
30935w,24100458000186,mango perfume,mango perfume,,Pay After Delivery,Mafraq,المفرق,100مل سوفاج الكسير +100مل فرزاتشي ديلان بلو رجالي +50مل سكاندل بور هوم +50مل كراش ون مي ,,0,,1.75,Cod Collected,10/2/2024 2:12:19 AM,10/2/2024 4:55:26 AM,10/2/2024 11:49:37 AM,10/2/2024 4:37:42 PM,10/2/2024 5:58:49 PM,10/3/2024 9:54:03 AM
30936w,24100458000187,mango perfume,mango perfume,,Pay After Delivery,Irbid,اربد,100مل 212 ستاتي +100مل يو ستاتي ,,25,,1.75,Item Returned To Company Completed,10/2/2024 2:12:19 AM,10/2/2024 4:55:26 AM,10/2/2024 11:56:50 AM,,,10/3/2024 9:54:03 AM
30937w,24100458000188,mango perfume,mango perfume,,Pay After Delivery,Amman,وادي السير,100مل اف سان لوران واي +100مل لاكوست وايت ,E,0,,1.5,Cod Collected,10/2/2024 2:12:19 AM,10/2/2024 4:55:26 AM,10/2/2024 3:50:18 PM,10/2/2024 4:04:39 PM,10/2/2024 6:45:55 PM,10/3/2024 9:54:03 AM
30938w,24100458000189,mango perfume,mango perfume,,Pay After Delivery,Amman,تلاع العلي,100مل سبايس بومب +100مل دي مارلي لايتون +50مل توم فورد بلاك اوركيد +50مل ديور هوم انتنس ,G,34,,1.5,Cod Collected,10/2/2024 2:12:19 AM,10/2/2024 4:55:26 AM,10/2/2024 7:25:06 AM,10/2/2024 2:09:50 PM,10/2/2024 6:40:16 PM,10/3/2024 9:54:03 AM
36059,24100458000190,mango perfume,mango perfume,.,Pay After Delivery,Aqaba,العقبة,,S - A,68,,1.75,Cod Collected,10/2/2024 4:06:01 AM,10/2/2024 5:36:07 AM,10/2/2024 6:51:36 AM,10/2/2024 5:59:10 PM,10/2/2024 10:59:21 PM,10/3/2024 9:54:03 AM
36057,24100458000191,mango perfume,mango perfume,.,Pay After Delivery,Jarash,جرش,,N-J,0,,1.75,Cod Collected,10/2/2024 4:06:01 AM,10/2/2024 5:36:07 AM,10/2/2024 11:43:06 AM,10/2/2024 3:10:23 PM,10/2/2024 8:15:03 PM,10/3/2024 9:54:03 AM
r2691F,24100458000192,mango perfume,mango perfume,,Pay After Delivery,Aqaba,العقبة,,S - A,0,,1.75,Item Returned To Company Completed,10/2/2024 10:48:07 AM,10/2/2024 10:54:47 AM,,,,
RTN3096F,24100458000193,mango perfume,mango perfume,,Pay After Delivery,Amman,طبربور,ارماني كود ١٠٠ عدد٢,RTN,0,,1.5,Item Returned To Company Completed,10/2/2024 10:54:52 AM,10/2/2024 4:55:25 AM,10/2/2024 7:18:55 AM,,,
RTN2994w,24100458000194,mango perfume,mango perfume,,Pay After Delivery,Amman,الدوار الثامن,100مل دولتشي غابانا ذا ون ستاتي ,RTN,0,,1.5,Item Returned To Company Completed,10/2/2024 11:09:04 AM,10/1/2024 5:41:42 AM,10/2/2024 7:12:04 AM,,,
RTN30928w,24100458000195,mango perfume,mango perfume,,Pay After Delivery,Amman,شارع مكة,100مل باسفيك تشيل ,RTN,0,,1.5,Item Returned To Company Completed,10/2/2024 11:46:32 AM,10/2/2024 4:55:26 AM,10/2/2024 7:39:59 AM,,,
RTN30925F,24100458000196,mango perfume,mango perfume,,Pay After Delivery,Zarqa,الزرقاء,سبايس بومب اكستريم ١٠٠,RTN,0,,1.75,Item Returned To Company Completed,10/2/2024 11:58:34 AM,10/2/2024 4:55:25 AM,10/2/2024 8:53:38 AM,,,
RTN30911F,24100458000197,mango perfume,mango perfume,,Pay After Delivery,Amman,ابو نصير,واي ١٠٠,RTN,0,,1.5,Item Returned To Company Completed,10/2/2024 12:14:52 PM,10/2/2024 4:55:25 AM,10/2/2024 7:44:31 AM,,,
RTN3091w,24100458000198,mango perfume,mango perfume,,Pay After Delivery,Amman,اليادودة,100مل سكاندل رجالي +100مل سترونجر ويذ يو انتنسلي ,RTN,0,,1.5,Item Returned To Company Completed,10/2/2024 12:16:01 PM,10/2/2024 4:55:26 AM,10/2/2024 7:03:03 AM,,,
RTN3092F,24100458000199,mango perfume,mango perfume,,Pay After Delivery,Amman,اليادودة,عنبر ليذر ١٠٠,RTN,0,,1.5,Item Returned To Company Completed,10/2/2024 1:25:44 PM,10/2/2024 4:55:25 AM,10/2/2024 7:03:03 AM,,,
RTN30913w,24100458000200,mango perfume,mango perfume,,Pay After Delivery,Amman,ضاحية الياسمين,100مل بلاك اوبيوم +100مل سكاندل رجالي +50مل ديور جوي +50مل سترونجر ويذ يو انتنسلي ,RTN,0,,1.5,Item Returned To Company Completed,10/2/2024 2:12:02 PM,10/2/2024 4:55:26 AM,10/2/2024 7:07:47 AM,,,
RTN30934F,24100458000201,mango perfume,mango perfume,,Pay After Delivery,Amman,القسطل,واي ١٠٠/ فرزاتشي ديلان بلو ١٠٠/كنج ١٠٠+ ٥٠/ بويزن ٥٠/ روبورتو كفالي بردايسو ٥٠/ الي صعب جيرل اوف ناو ٥٠ عدد/,RTN,35.5,,1.5,Item Returned To Company Completed,10/2/2024 3:27:18 PM,10/2/2024 4:55:26 AM,10/2/2024 7:28:51 AM,,,
RTN30910F,24100458000202,mango perfume,mango perfume,,Pay After Delivery,Amman,جبل اللويبدة,لافي بيل ١٠٠,RTN,0,,1.5,Item Returned To Company Completed,10/2/2024 3:44:12 PM,10/2/2024 4:55:25 AM,10/2/2024 6:58:57 AM,,,
RTN30930w,24100458000203,mango perfume,mango perfume,,Pay After Delivery,Irbid,ايدون,100مل غوتشي فلورا +100مل دنهل بلو ,,0,,1.75,Item Returned To Company Completed,10/2/2024 6:32:13 PM,10/2/2024 4:55:26 AM,10/2/2024 12:02:10 PM,,,
RTN30921w,24100458000204,mango perfume,mango perfume,,Pay After Delivery,Amman,خلدا,100مل كريد افنتوس ,RTN,0,,1.5,Item Returned To Company Completed,10/2/2024 6:47:36 PM,10/2/2024 4:55:26 AM,10/2/2024 6:47:04 PM,,,
1101F,24100458000205,mango perfume,mango perfume,,Pay After Delivery,Amman,عرجان,يو ١٠٠/ يبايس بومب اكستربو ١٠٠/بلاك اوبيوم ٥٠/ ليبر ٥٠,G,34,,1.5,Cod Collected,10/3/2024 12:42:51 AM,10/3/2024 5:45:11 AM,10/3/2024 7:07:03 AM,10/3/2024 10:13:13 AM,10/3/2024 5:24:34 PM,10/5/2024 9:47:35 AM
1102F,24100458000206,mango perfume,mango perfume,,Pay After Delivery,Amman,الشميساني,مون جيرلان ١٠٠/فرزاتشي بور هوم ١٠٠/دولتشي بور هوم ٥٠/ بلو شانيل ٥٠,C 3,34,,1.5,Cod Collected,10/3/2024 12:42:51 AM,10/3/2024 5:45:11 AM,10/3/2024 6:45:12 AM,10/3/2024 10:24:38 AM,10/3/2024 4:37:22 PM,10/5/2024 9:47:35 AM
1103F,24100458000207,mango perfume,mango perfume,,Pay After Delivery,Amman,ضاحية الرشيد,ايروس ١٠٠/جادور ١٠٠/ ذا ون ستاتي ٥٠/ فلانتينو دونا ٥٠,I,34,,1.5,Cod Collected,10/3/2024 12:42:51 AM,10/3/2024 5:45:11 AM,10/3/2024 7:12:38 AM,10/3/2024 5:41:46 PM,10/3/2024 7:23:35 PM,10/5/2024 9:47:35 AM
1104F,24100458000208,mango perfume,mango perfume,,Pay After Delivery,Amman,صويلح,سكادا سيكس جرافيك ١٠٠/سوفاج ١٠٠/اكستريم سكسي رجالي ٥٠./ بون بون ستاتي ٥٠,I,34,,1.5,Cod Collected,10/3/2024 12:42:51 AM,10/3/2024 5:45:11 AM,10/3/2024 7:12:38 AM,10/3/2024 1:10:27 PM,10/3/2024 7:23:35 PM,10/5/2024 9:47:35 AM
1105F,24100458000209,mango perfume,mango perfume,,Pay After Delivery,Amman,شفا بدران,مستربيربري ١٠٠,J,0,,1.5,Cod Collected,10/3/2024 12:42:51 AM,10/3/2024 5:45:11 AM,10/3/2024 7:17:36 AM,10/3/2024 9:53:56 AM,10/3/2024 5:25:24 PM,10/5/2024 9:47:35 AM
1106F,24100458000210,mango perfume,mango perfume,,Pay After Delivery,Zarqa,الزرقاء,واي ١٠٠ارماني كود ١٠٠/ كنج ٥٠/ سكاندل رجالي ٥٠,Z - 1,34,,1.75,Cod Collected,10/3/2024 12:42:51 AM,10/3/2024 5:45:11 AM,10/3/2024 9:14:50 AM,10/3/2024 3:08:31 PM,10/3/2024 8:40:15 PM,10/5/2024 9:47:35 AM
1107F,24100458000211,mango perfume,mango perfume,,Pay After Delivery,Salt,السلط,يو انتنسلي ١٠٠/ سبايس بومب اكستريم ١٠٠/سكاندل رجالي ٥٠/ارماني كود ٥٠,RTN,34,,1.75,Item Returned To Company Completed,10/3/2024 12:42:51 AM,10/3/2024 5:45:11 AM,10/3/2024 7:46:40 AM,,,
1108F,24100458000212,mango perfume,mango perfume,,Pay After Delivery,Amman,ام اذينة ,ارماني سبورت ١٠٠/واي١٠٠/ ٢١٢ سلفر٥٠/ايفوريا رجالي ٥٠,K,34,,1.5,Cod Collected,10/3/2024 12:42:51 AM,10/3/2024 5:45:11 AM,10/3/2024 7:20:56 AM,10/3/2024 12:12:23 PM,10/3/2024 4:50:04 PM,10/5/2024 9:47:35 AM
1109F,24100458000213,mango perfume,mango perfume,,Pay After Delivery,Amman,الجبيهة,ايدول ١٠٠,I,0,,1.5,Cod Collected,10/3/2024 12:42:51 AM,10/3/2024 5:45:11 AM,10/3/2024 7:12:38 AM,10/3/2024 11:56:15 AM,10/3/2024 7:23:35 PM,10/5/2024 9:47:35 AM
11010F,24100458000214,mango perfume,mango perfume,,Pay After Delivery,Amman,الشميساني,ليبر ١٠٠/كفالي اومو ١٠٠/بكرات روج ٥٠/ كوكو مدموزيل ٥٠,C 3,34,,1.5,Cod Collected,10/3/2024 12:42:51 AM,10/3/2024 5:45:11 AM,10/3/2024 6:45:12 AM,10/3/2024 9:57:01 AM,10/3/2024 4:37:22 PM,10/5/2024 9:47:36 AM
11011F,24100458000215,mango perfume,mango perfume,,Pay After Delivery,Amman,مرج الحمام,جيو ١٠٠ / ٢١٢ سكسي ١٠٠/كريد افنتوس٥٠/جين بول جلتر لا ميل ٥٠,O,0,,1.5,Cod Collected,10/3/2024 12:42:51 AM,10/3/2024 5:45:11 AM,10/3/2024 7:27:25 AM,10/3/2024 10:09:50 AM,10/3/2024 5:26:37 PM,10/5/2024 9:47:36 AM
11013F,24100458000217,mango perfume,mango perfume,,Pay After Delivery,Amman,عبدون,امبريال فالي ١٠٠,K,19,,1.5,Cod Collected,10/3/2024 12:42:52 AM,10/3/2024 5:45:11 AM,10/3/2024 7:20:56 AM,10/3/2024 2:04:43 PM,10/3/2024 4:50:04 PM,10/5/2024 9:47:36 AM
11014F,24100458000218,mango perfume,mango perfume,,Pay After Delivery,Amman,ابو نصير,ايدول ١٠٠,J,0,,1.5,Cod Collected,10/3/2024 12:42:52 AM,10/3/2024 5:45:11 AM,10/3/2024 7:17:36 AM,10/3/2024 12:33:36 PM,10/3/2024 5:25:24 PM,10/5/2024 9:47:36 AM
11016F,24100458000220,mango perfume,mango perfume,,Pay After Delivery,Amman,الشميساني,ايدول ١٠٠,C 3,0,,1.5,Cod Collected,10/3/2024 12:42:52 AM,10/3/2024 5:45:11 AM,10/3/2024 6:45:12 AM,10/3/2024 10:58:29 AM,10/3/2024 4:37:22 PM,10/5/2024 9:47:36 AM
11017F,24100458000221,mango perfume,mango perfume,,Pay After Delivery,Irbid,شارع الثلاثين,ويد توباكو١٠٠/ ديور هوم انتنس -٠٠/ ذا ون ٥٠/ امبر ليذر ٦٠,,34,,1.75,Item Returned To Company Completed,10/3/2024 12:42:52 AM,10/3/2024 5:45:11 AM,10/5/2024 12:26:22 PM,,,
11018F,24100458000222,mango perfume,mango perfume,,Pay After Delivery,Amman,القسطل,تيرو نيشان ١٠٠/مومنال اريبيات كتبس ١٤ م,N,34,,1.5,Cod Collected,10/3/2024 12:42:52 AM,10/3/2024 5:45:11 AM,10/3/2024 7:38:27 AM,10/3/2024 10:23:39 AM,10/3/2024 4:29:49 PM,10/5/2024 9:47:36 AM
11020F,24100458000223,mango perfume,mango perfume,,Pay After Delivery,Russeifa,الرصيفة,امبر ليذر١٠٠/ ايروس ١٠٠/جيو٥٠/ ليجند ٥٠,R,34,,1.75,Cod Collected,10/3/2024 12:42:52 AM,10/3/2024 5:45:11 AM,10/3/2024 9:08:45 AM,10/3/2024 3:35:44 PM,10/3/2024 8:38:41 PM,10/5/2024 9:47:36 AM
11021F,24100458000224,mango perfume,mango perfume,,Pay After Delivery,Irbid,الحي الشرقي,امبر ليذر ١٠٠/كريد افنتوس ١٠٠/ فرزاتشي كريستال نوير ٥٠/ ليبر ٥٠,Q 9,34,,1.75,Cod Collected,10/3/2024 12:42:52 AM,10/3/2024 5:45:11 AM,10/3/2024 12:05:58 PM,10/3/2024 2:20:26 PM,10/3/2024 7:45:52 PM,10/5/2024 9:47:36 AM
11022F,24100458000225,mango perfume,mango perfume,,Pay After Delivery,Amman,شفا بدران,بكرات روج ١٠٠/هاديسىن فالي ١٠٠/ لا سيكرت ٥٠/لانترد روج ٥٠,RTN,34,,1.5,Item Returned To Company Completed,10/3/2024 12:42:52 AM,10/3/2024 5:45:11 AM,10/5/2024 8:37:03 AM,,,
11023F,24100458000226,mango perfume,mango perfume,,Pay After Delivery,Amman,الهاشمي الشمالي,روبوتور كفالي ١٠٠/ جفنشي ارستبل ١٠٠/ ارماني كود ٥٠/ واي ٥٠,C 1,34,,1.5,Cod Collected,10/3/2024 12:42:52 AM,10/3/2024 5:45:11 AM,10/3/2024 6:38:01 AM,10/3/2024 6:34:36 PM,10/3/2024 7:46:25 PM,10/5/2024 9:47:36 AM
11024F,24100458000227,mango perfume,mango perfume,,Pay After Delivery,Amman,صويلح,شانيل شانس تندر ١٠٠/ فلانتينو دونا ستاتي ١٠٠/ جيو شفافه٥٠/ سي كيه ون ٥٠,I,34,,1.5,Cod Collected,10/3/2024 12:42:52 AM,10/3/2024 5:45:11 AM,10/3/2024 7:12:38 AM,10/3/2024 1:24:52 PM,10/3/2024 7:23:35 PM,10/5/2024 9:47:36 AM
11025F,24100458000228,mango perfume,mango perfume,,Pay After Delivery,Amman,وادي السير,عود وود ١٠٠/ خمرة ١٠٠/سوفاج ٥٠/عود وود ٣٤,E,34,,1.5,Cod Collected,10/3/2024 12:42:52 AM,10/3/2024 5:45:12 AM,10/3/2024 6:55:21 AM,10/3/2024 12:04:26 PM,10/3/2024 7:16:09 PM,10/5/2024 9:47:36 AM
11026F,24100458000229,mango perfume,mango perfume,,Pay After Delivery,Jarash,جرش,فلانتنو ستاتي ١٠٠ عدد٢,N-J,0,,1.75,Cod Collected,10/3/2024 12:42:52 AM,10/3/2024 5:45:12 AM,10/3/2024 11:52:09 AM,10/3/2024 3:12:02 PM,10/3/2024 11:46:16 PM,10/5/2024 9:47:36 AM
11027F,24100458000230,mango perfume,mango perfume,,Pay After Delivery,Aqaba,العقبة,بلو شانيل ١٠٠,S - A,0,,1.75,Cod Collected,10/3/2024 12:42:52 AM,10/3/2024 5:45:12 AM,10/3/2024 7:00:52 AM,10/3/2024 10:21:37 PM,10/5/2024 9:00:32 AM,10/5/2024 9:47:36 AM
11028F,24100458000231,mango perfume,mango perfume,,Pay After Delivery,Rumtha,الرمثا,روز فانيلا ٢٠٠/ سبليس بومب اكستريم ١٠٠/ خمرة ٥٠/ انا الابيض ٥٠,Q 7,34,,1.75,Cod Collected,10/3/2024 12:42:52 AM,10/3/2024 5:45:12 AM,10/5/2024 12:09:32 PM,10/5/2024 1:19:02 PM,10/5/2024 5:02:06 PM,10/6/2024 12:09:52 PM
11029F,24100458000232,mango perfume,mango perfume,,Pay After Delivery,Amman,البقعة,دنهل ريد ١٠٠ عدد ٢/ سكاندل زحالي ٥٠ عدد٢,RTN,34,,1.5,Item Returned To Company Completed,10/3/2024 12:42:52 AM,10/3/2024 5:45:12 AM,10/5/2024 9:25:32 AM,,,
11030F,24100458000233,mango perfume,mango perfume,,Pay After Delivery,Amman,ماركا الشمالية,بلو شانيل ١٠٠,C 1,0,,1.5,Cod Collected,10/3/2024 12:42:52 AM,10/3/2024 5:45:12 AM,10/3/2024 6:34:57 AM,10/3/2024 1:34:31 PM,10/3/2024 7:46:25 PM,10/5/2024 9:47:36 AM
12031F,24100458000234,mango perfume,mango perfume,,Pay After Delivery,Amman,شفا بدران,جين بول جلتر ستاتي ١٠٠/ ٢١٢ في اي بي روز ١٠٠/بيربري لندن ستاتي ٥٠/ بلاك اوبيوم ٥٠,J,34,,1.5,Cod Collected,10/3/2024 12:42:52 AM,10/3/2024 5:45:12 AM,10/3/2024 7:17:36 AM,10/3/2024 2:48:25 PM,10/3/2024 5:25:24 PM,10/5/2024 9:47:36 AM
11032F,24100458000235,mango perfume,mango perfume,,Pay After Delivery,Irbid,الصريح,اكسبلور ١٠٠/ بكرات روج ١٠٠/ ليبر ٥٠/ ون مليون ٥٠,Q 1,0,,1.75,Cod Collected,10/3/2024 12:42:52 AM,10/3/2024 5:45:12 AM,10/3/2024 12:08:25 PM,10/3/2024 2:49:24 PM,10/3/2024 7:50:44 PM,10/5/2024 9:47:36 AM
11033F,24100458000236,mango perfume,mango perfume,,Pay After Delivery,Mafraq,المفرق,كنزو بور هوم ٥٠,,12,,1.75,Cod Collected,10/3/2024 12:42:52 AM,10/3/2024 5:45:12 AM,10/3/2024 11:47:04 AM,10/3/2024 3:47:00 PM,10/3/2024 9:09:16 PM,10/5/2024 9:47:36 AM
11034F,24100458000237,mango perfume,mango perfume,,Pay After Delivery,Amman,الدوار الخامس,امبريال فالي ٢٠٠/ خمرة ١٠٩/ يو انتنسلي ٥٠/بلغري تايجر ٥٠,C 3,34,,1.5,Cod Collected,10/3/2024 12:42:52 AM,10/3/2024 5:45:12 AM,10/3/2024 6:45:12 AM,10/3/2024 1:08:47 PM,10/3/2024 4:37:22 PM,10/5/2024 9:47:36 AM
11035F,24100458000238,mango perfume,mango perfume,,Pay After Delivery,Amman,الجبيهة,فرزاتشي ديلان بلو ١٠٠/فلانتينو اومو رحالي ١٠٠.واي ٥٠/ سوفاج الكسير ٥٠,I,34,,1.5,Cod Collected,10/3/2024 12:42:52 AM,10/3/2024 5:45:12 AM,10/3/2024 7:12:38 AM,10/3/2024 11:19:44 AM,10/3/2024 7:23:35 PM,10/5/2024 9:47:36 AM
11036F,24100458000239,mango perfume,mango perfume,,Pay After Delivery,Aqaba,الرابعة,بلو شانيل ١٠٠,S - A,19,,1.75,Cod Collected,10/3/2024 12:42:52 AM,10/3/2024 5:45:12 AM,10/4/2024 8:35:15 PM,10/4/2024 8:35:56 PM,10/5/2024 9:00:32 AM,10/5/2024 9:47:36 AM
11037F,24100458000240,mango perfume,mango perfume,,Pay After Delivery,Amman,جاوا,جين برل جلتر ١٠٠كريذ وايت ١٠٠/ لاهوم اف سان لوران ٥٠/سبايس بومب اكستريم ٥٠,D 1,34,,1.5,Cod Collected,10/3/2024 12:42:52 AM,10/3/2024 5:45:12 AM,10/3/2024 6:47:56 AM,10/3/2024 12:13:54 PM,10/3/2024 3:35:08 PM,10/5/2024 9:47:36 AM
11039F,24100458000242,mango perfume,mango perfume,,Pay After Delivery,Amman,الدوار الخامس,دا ون ١٠٠/ ايدول ١٠٠+٥٠/فرزاتشي برايت كريستال ابسولو٥٠,C 3,34,,1.5,Cod Collected,10/3/2024 12:42:52 AM,10/3/2024 5:45:12 AM,10/3/2024 6:45:12 AM,10/3/2024 1:02:28 PM,10/3/2024 4:37:22 PM,10/5/2024 9:47:36 AM
11040F,24100458000243,mango perfume,mango perfume,,Pay After Delivery,Amman,الجبيهة,بلو شانيل ١٠٠/ ما واي ١٠٠/كريدافنتوس ٥٠/انسولنس ٥٠,I,34,,1.5,Cod Collected,10/3/2024 12:42:52 AM,10/3/2024 5:45:12 AM,10/5/2024 8:47:21 AM,10/5/2024 12:47:10 PM,10/5/2024 8:02:54 PM,10/6/2024 12:09:52 PM
11041F,24100458000244,mango perfume,mango perfume,,Pay After Delivery,Amman,المنارة,جين بول جبتر لا ميل ٥٠,RTN,12,,1.5,Item Returned To Company Completed,10/3/2024 12:42:52 AM,10/3/2024 5:45:12 AM,10/6/2024 7:28:04 AM,,,
11042F,24100458000245,mango perfume,mango perfume,,Pay After Delivery,Amman,مرج الحمام,كريد اقنتوس ١٠٠/ بلو شانيل ١٠٠ /. ٢١٢ سلفر ٥٠/سكاندل رحالي ٥٠/ جين بول جلتر ٥٠,O,34,,1.5,Cod Collected,10/3/2024 12:42:52 AM,10/3/2024 5:45:12 AM,10/3/2024 2:27:47 PM,10/3/2024 2:33:00 PM,10/3/2024 8:51:47 PM,10/5/2024 9:47:36 AM
1101w,24100458000246,mango perfume,mango perfume,,Pay After Delivery,Karak,الكرك,100مل كريد افنتوس +100مل ايروس +50مل سوفاج +50مل مونت بلانك اكسبلور ,S - K,34,,1.75,Cod Collected,10/3/2024 12:42:52 AM,10/3/2024 5:45:12 AM,10/3/2024 6:58:21 AM,10/3/2024 5:49:32 PM,10/5/2024 9:05:39 AM,10/5/2024 9:47:36 AM
1102w,24100458000247,mango perfume,mango perfume,,Pay After Delivery,Salt,السلالم,100مل دولتشي غابانا ذا ون رجالي +100مل مونت بلانك اكسبلور +50مل توم فورد اومبير ليذر +50مل  ,M,0,,1.75,Cod Collected,10/3/2024 12:42:52 AM,10/3/2024 5:45:12 AM,10/3/2024 7:46:40 AM,10/3/2024 3:46:30 PM,10/5/2024 9:01:48 AM,10/5/2024 9:47:36 AM
